age;marital;education;default;balance;housing;loan;contact;poutcome;class
49;married;tertiary;no;313;yes;no;cellular;failure;no
39;single;primary;no;419;yes;no;cellular;failure;no
42;married;tertiary;no;14282;yes;no;cellular;success;no
56;married;secondary;no;1270;yes;no;cellular;other;no
44;married;secondary;no;4826;yes;no;cellular;other;no
42;married;secondary;no;1048;yes;no;cellular;failure;no
41;married;secondary;no;112;yes;no;cellular;failure;no
51;married;secondary;no;563;yes;no;cellular;failure;no
36;married;secondary;no;1797;yes;yes;cellular;failure;no
52;married;tertiary;no;3440;yes;no;cellular;failure;no
42;married;tertiary;no;373;no;no;cellular;failure;no
45;married;secondary;no;2020;yes;no;cellular;failure;no
35;married;secondary;no;24;yes;no;cellular;failure;no
38;married;tertiary;no;425;yes;no;cellular;failure;no
47;married;secondary;no;80;no;yes;cellular;failure;no
43;married;secondary;no;634;yes;no;cellular;failure;no
33;married;secondary;no;0;yes;no;cellular;other;no
40;single;secondary;no;677;yes;no;cellular;other;no
54;married;secondary;no;899;no;yes;cellular;other;no
50;married;tertiary;no;830;no;no;cellular;failure;no
54;married;secondary;no;2719;yes;no;cellular;failure;no
44;married;secondary;no;0;yes;no;cellular;failure;no
43;divorced;secondary;no;-259;no;no;cellular;other;no
51;married;tertiary;no;248;yes;yes;cellular;failure;no
51;married;secondary;no;12061;yes;no;cellular;failure;no
42;single;secondary;no;-15;no;no;cellular;failure;no
46;divorced;secondary;no;0;no;no;cellular;success;no
50;married;tertiary;no;4;no;no;cellular;failure;no
58;divorced;secondary;no;3111;yes;no;cellular;failure;no
44;married;tertiary;no;1451;yes;no;cellular;failure;no
41;married;primary;no;557;yes;no;cellular;failure;no
37;single;tertiary;no;600;yes;no;cellular;failure;no
53;married;secondary;no;350;no;yes;cellular;failure;no
53;married;secondary;no;248;no;yes;cellular;failure;no
52;married;secondary;no;1818;no;yes;cellular;failure;no
36;divorced;tertiary;no;3837;yes;no;cellular;success;no
37;married;tertiary;no;0;yes;no;cellular;failure;no
44;married;tertiary;no;58;yes;no;cellular;failure;no
59;divorced;tertiary;no;3552;yes;no;cellular;other;no
32;married;secondary;no;0;yes;yes;cellular;failure;no
41;married;tertiary;no;20;yes;no;cellular;failure;no
37;married;secondary;yes;-954;yes;no;cellular;failure;no
43;married;primary;no;0;no;yes;cellular;failure;no
51;married;primary;no;230;yes;no;cellular;failure;no
56;married;tertiary;no;505;yes;yes;cellular;failure;no
44;married;secondary;no;3843;yes;no;cellular;other;no
56;single;primary;no;109;no;yes;telephone;other;no
39;married;tertiary;no;5;yes;no;cellular;other;no
38;married;secondary;no;821;yes;yes;cellular;failure;no
42;married;primary;no;275;no;no;cellular;failure;no
34;single;tertiary;no;1049;yes;no;cellular;failure;no
38;married;primary;no;0;yes;no;cellular;failure;no
53;married;tertiary;no;2269;no;no;cellular;success;yes
41;married;secondary;no;271;yes;no;cellular;failure;no
48;divorced;tertiary;no;-478;yes;no;cellular;failure;no
54;married;tertiary;no;3795;yes;yes;cellular;failure;no
55;married;secondary;no;653;yes;no;cellular;failure;no
38;single;secondary;no;1255;yes;no;cellular;failure;no
50;divorced;secondary;no;-403;no;yes;cellular;failure;no
42;married;primary;no;2636;no;no;cellular;failure;no
40;married;secondary;no;1029;yes;yes;cellular;failure;no
38;married;secondary;no;0;no;no;telephone;other;no
57;married;secondary;no;1502;no;no;telephone;failure;no
30;single;secondary;no;426;yes;no;telephone;failure;no
56;single;secondary;no;237;yes;no;telephone;failure;no
39;married;secondary;no;8;no;yes;cellular;failure;no
43;divorced;secondary;no;1043;yes;no;cellular;failure;no
42;married;secondary;no;1027;yes;no;telephone;failure;no
44;married;tertiary;no;724;yes;no;cellular;failure;no
36;married;secondary;no;0;yes;no;cellular;failure;no
40;married;secondary;no;219;yes;no;cellular;failure;no
43;married;tertiary;no;2767;yes;no;cellular;failure;no
40;married;secondary;no;1269;yes;no;cellular;failure;no
56;married;secondary;no;1150;no;yes;cellular;failure;no
37;married;secondary;no;5115;yes;no;cellular;failure;yes
56;single;tertiary;no;1092;yes;yes;cellular;failure;no
37;married;secondary;no;121;no;yes;cellular;failure;no
58;divorced;secondary;no;644;no;yes;cellular;failure;no
45;married;secondary;no;781;no;yes;cellular;failure;yes
50;married;secondary;no;0;yes;no;cellular;failure;no
46;married;secondary;no;4958;yes;no;cellular;other;no
35;divorced;secondary;no;204;yes;no;cellular;other;no
40;married;secondary;no;755;no;no;cellular;failure;no
43;married;tertiary;no;1201;yes;yes;cellular;failure;no
40;married;tertiary;no;3059;yes;yes;cellular;failure;no
36;married;primary;no;4324;yes;no;cellular;failure;no
44;married;tertiary;no;756;yes;no;cellular;failure;no
37;married;secondary;no;723;yes;no;cellular;failure;no
37;married;secondary;no;195;yes;no;cellular;failure;no
41;married;secondary;no;3275;yes;no;cellular;other;no
42;married;tertiary;no;2249;yes;no;telephone;failure;no
53;married;secondary;no;137;no;yes;cellular;failure;no
44;married;secondary;no;10888;yes;no;cellular;failure;no
41;married;secondary;no;4320;yes;no;cellular;failure;no
41;married;primary;no;1461;yes;no;cellular;success;no
48;married;secondary;no;4415;yes;no;cellular;failure;no
58;married;tertiary;no;9339;yes;no;telephone;other;no
56;married;secondary;no;589;yes;no;cellular;success;no
34;married;secondary;no;559;yes;no;telephone;other;no
39;single;tertiary;no;283;yes;no;cellular;other;no
36;married;secondary;no;154;yes;no;cellular;other;no
47;divorced;tertiary;no;428;yes;no;cellular;other;no
42;single;secondary;no;-247;yes;yes;cellular;success;no
37;married;secondary;no;0;yes;no;cellular;failure;no
35;single;secondary;no;5260;yes;no;cellular;failure;no
33;single;secondary;no;1769;yes;no;cellular;failure;no
46;married;tertiary;no;4301;yes;yes;cellular;failure;no
46;married;secondary;no;68;yes;yes;cellular;failure;no
36;divorced;secondary;no;454;yes;no;cellular;failure;no
32;single;secondary;no;53;yes;no;cellular;failure;no
38;single;tertiary;no;1515;yes;no;cellular;failure;no
37;single;tertiary;no;561;no;no;cellular;failure;no
59;married;secondary;no;2429;no;yes;cellular;failure;no
40;divorced;secondary;no;1155;no;yes;cellular;failure;no
59;married;primary;no;14;yes;yes;cellular;failure;no
36;single;tertiary;no;0;no;yes;cellular;failure;no
51;married;primary;no;1194;yes;no;cellular;failure;no
45;single;secondary;no;91;no;yes;cellular;failure;no
38;single;tertiary;no;427;yes;no;cellular;failure;no
42;married;secondary;no;1958;yes;no;cellular;failure;no
30;single;tertiary;no;3;yes;no;cellular;failure;no
51;married;tertiary;no;146;no;no;cellular;failure;no
37;married;tertiary;no;3770;yes;no;cellular;failure;no
41;married;secondary;no;446;yes;no;cellular;success;no
33;divorced;secondary;no;661;yes;no;cellular;other;no
30;single;secondary;no;4787;yes;no;cellular;failure;no
36;married;secondary;no;1345;yes;no;cellular;failure;no
58;married;tertiary;no;0;yes;no;cellular;failure;no
42;married;primary;no;2273;yes;no;cellular;failure;no
41;married;secondary;no;1100;yes;no;cellular;failure;no
43;married;secondary;no;764;yes;no;cellular;failure;no
34;single;tertiary;no;1494;yes;no;cellular;other;yes
48;married;secondary;no;2877;yes;no;cellular;failure;no
30;single;secondary;yes;-305;no;yes;cellular;failure;no
31;married;tertiary;no;26;no;yes;cellular;other;yes
43;single;secondary;yes;685;yes;no;cellular;failure;no
34;single;secondary;no;10;no;yes;cellular;failure;no
35;married;tertiary;no;1041;no;no;cellular;other;no
36;single;secondary;no;1927;yes;no;cellular;other;no
44;married;primary;no;1880;yes;no;cellular;failure;no
45;divorced;secondary;no;5862;yes;no;cellular;other;no
36;married;tertiary;no;0;yes;no;cellular;failure;no
33;married;secondary;no;596;yes;no;cellular;failure;no
47;married;secondary;no;829;yes;yes;cellular;failure;no
47;married;secondary;no;3237;yes;no;cellular;failure;no
35;married;secondary;no;222;yes;no;cellular;failure;no
39;married;secondary;no;3732;yes;no;cellular;failure;no
39;married;tertiary;no;585;yes;no;cellular;failure;no
31;single;secondary;no;2038;yes;no;cellular;failure;no
37;single;tertiary;no;1316;yes;no;cellular;failure;no
50;married;secondary;no;-353;yes;yes;cellular;failure;no
39;divorced;tertiary;no;5009;yes;no;cellular;failure;no
56;divorced;secondary;no;0;no;no;cellular;failure;no
30;divorced;secondary;no;83;yes;yes;cellular;failure;no
45;married;primary;no;147;yes;no;cellular;failure;no
33;married;secondary;no;157;yes;no;cellular;failure;no
45;married;secondary;no;3395;yes;no;cellular;failure;no
39;married;primary;no;694;yes;yes;cellular;other;no
37;single;secondary;no;690;yes;no;cellular;failure;no
37;single;secondary;no;54;yes;no;cellular;failure;no
33;single;tertiary;no;179;yes;no;cellular;other;no
40;single;secondary;no;326;yes;no;cellular;failure;no
45;married;secondary;no;1441;yes;no;cellular;other;no
39;married;secondary;no;484;no;yes;cellular;other;no
38;married;secondary;no;-288;yes;yes;cellular;failure;no
41;married;secondary;no;2123;no;no;cellular;failure;no
44;married;secondary;no;1901;no;no;cellular;failure;no
41;married;secondary;no;1954;no;no;cellular;success;no
45;single;tertiary;no;16;no;no;cellular;failure;no
34;divorced;tertiary;no;5754;yes;no;cellular;failure;no
52;divorced;secondary;no;2717;no;no;telephone;failure;no
43;single;primary;no;103;yes;no;cellular;failure;no
37;married;primary;no;5427;no;no;cellular;failure;no
37;single;tertiary;no;1743;yes;no;cellular;failure;no
48;married;primary;no;1092;no;yes;cellular;failure;no
35;married;tertiary;no;4943;yes;no;cellular;failure;no
42;married;tertiary;no;2110;no;yes;cellular;failure;no
34;married;tertiary;no;63;no;no;cellular;failure;no
32;single;secondary;no;118;yes;no;cellular;success;no
50;single;tertiary;no;21;yes;no;cellular;failure;no
30;married;tertiary;no;900;no;no;cellular;failure;no
32;married;secondary;no;1785;yes;no;cellular;other;no
55;married;secondary;no;3546;yes;yes;cellular;failure;no
32;married;tertiary;no;1667;yes;no;cellular;failure;no
32;single;secondary;no;2251;yes;yes;cellular;failure;no
31;single;secondary;no;2076;no;yes;cellular;other;no
46;single;primary;no;3046;yes;yes;cellular;other;no
44;married;secondary;no;533;yes;no;cellular;failure;no
36;married;secondary;no;2894;yes;no;cellular;failure;no
34;married;tertiary;no;11;yes;no;cellular;failure;no
32;married;tertiary;no;3107;yes;yes;cellular;failure;no
48;married;secondary;no;3008;yes;yes;cellular;failure;no
48;single;tertiary;no;648;yes;no;cellular;failure;no
39;married;secondary;no;173;yes;no;cellular;failure;no
47;single;secondary;no;19;yes;yes;cellular;failure;no
52;married;tertiary;no;297;yes;no;cellular;failure;no
59;divorced;secondary;no;797;yes;no;cellular;failure;no
36;single;secondary;no;1482;yes;no;cellular;other;no
38;married;tertiary;no;678;no;yes;cellular;failure;no
54;married;secondary;no;506;yes;no;cellular;failure;no
51;married;tertiary;no;-516;yes;no;cellular;failure;no
44;single;tertiary;no;1356;no;yes;cellular;other;no
47;married;primary;no;1533;no;yes;cellular;failure;no
34;married;primary;no;500;yes;no;cellular;failure;no
54;married;secondary;no;3729;no;yes;cellular;other;no
30;married;secondary;no;246;yes;no;cellular;failure;no
43;single;tertiary;no;-56;yes;no;cellular;failure;no
52;married;secondary;no;2257;yes;no;telephone;failure;no
36;married;secondary;no;402;no;yes;cellular;failure;no
39;married;secondary;no;517;yes;no;cellular;failure;no
32;single;tertiary;no;0;yes;no;cellular;other;no
46;married;tertiary;no;0;no;no;cellular;other;yes
45;single;tertiary;no;5694;yes;no;cellular;failure;no
54;married;tertiary;no;368;no;no;cellular;failure;no
41;married;secondary;no;-1882;yes;no;cellular;other;no
36;single;secondary;no;296;no;no;cellular;failure;no
38;married;secondary;no;508;yes;no;cellular;failure;no
36;single;primary;no;2169;yes;no;cellular;other;no
44;married;secondary;no;2626;yes;no;cellular;failure;no
59;married;primary;no;124;yes;no;cellular;failure;no
36;married;tertiary;no;521;no;yes;cellular;other;no
40;single;secondary;no;2854;yes;no;cellular;failure;no
30;divorced;secondary;no;0;yes;yes;cellular;failure;no
34;married;secondary;no;932;no;yes;cellular;other;no
42;single;tertiary;no;1113;yes;yes;cellular;failure;no
33;married;tertiary;no;1522;yes;no;cellular;failure;no
44;married;secondary;no;-236;yes;no;cellular;success;no
36;single;tertiary;no;3560;no;no;cellular;failure;no
42;divorced;secondary;no;898;yes;no;cellular;failure;no
36;divorced;secondary;no;556;yes;no;cellular;failure;no
53;married;secondary;no;1066;yes;no;cellular;failure;no
38;married;secondary;no;728;yes;no;cellular;other;no
52;married;tertiary;no;5350;yes;yes;cellular;success;no
40;married;secondary;no;7313;yes;no;cellular;failure;no
30;single;tertiary;no;0;yes;no;cellular;failure;no
45;married;secondary;no;1550;yes;no;cellular;failure;no
38;married;secondary;no;4392;no;no;cellular;failure;no
47;divorced;primary;no;1095;yes;no;cellular;other;no
33;married;secondary;no;328;yes;no;cellular;failure;no
41;divorced;primary;no;22;yes;no;cellular;other;no
51;married;tertiary;no;1612;yes;no;cellular;failure;no
33;married;tertiary;no;17455;yes;yes;cellular;failure;no
32;married;secondary;no;491;yes;no;cellular;failure;no
47;married;secondary;no;826;yes;no;telephone;other;no
32;married;secondary;no;3839;yes;no;cellular;failure;no
51;divorced;tertiary;no;1937;yes;no;cellular;other;no
40;single;secondary;no;9916;no;no;cellular;failure;no
56;married;secondary;no;728;no;no;cellular;failure;no
32;married;secondary;no;6217;yes;yes;cellular;failure;no
41;married;secondary;no;1327;yes;yes;cellular;failure;no
36;married;secondary;no;-179;yes;no;cellular;failure;no
46;married;secondary;no;942;no;no;cellular;failure;no
34;married;secondary;no;3990;yes;no;cellular;failure;no
34;single;tertiary;no;2047;yes;no;cellular;failure;no
44;divorced;secondary;no;-184;yes;no;cellular;other;no
30;married;tertiary;no;1185;yes;no;cellular;failure;no
30;single;secondary;no;2802;no;yes;telephone;failure;no
43;married;secondary;no;508;yes;no;cellular;failure;no
51;single;tertiary;no;6030;yes;no;cellular;failure;no
45;divorced;secondary;no;-14;no;no;cellular;failure;no
46;divorced;tertiary;no;6269;yes;no;telephone;failure;no
30;married;secondary;no;1131;yes;yes;cellular;failure;no
40;divorced;secondary;no;399;yes;yes;cellular;failure;no
46;divorced;secondary;no;864;yes;no;cellular;failure;no
49;married;tertiary;no;202;yes;no;cellular;other;no
31;single;tertiary;no;3142;yes;no;cellular;failure;no
53;married;secondary;no;1139;yes;no;cellular;failure;no
48;married;primary;no;214;yes;yes;cellular;failure;no
34;married;secondary;no;1412;yes;yes;cellular;failure;no
35;married;secondary;no;2019;yes;yes;cellular;failure;no
52;married;tertiary;no;1295;yes;no;cellular;other;no
31;married;tertiary;no;1164;yes;yes;cellular;failure;no
36;married;tertiary;no;369;no;no;cellular;failure;no
45;married;secondary;no;17;yes;no;cellular;failure;no
31;married;secondary;no;355;yes;no;cellular;failure;no
35;married;secondary;no;66;yes;no;cellular;other;no
51;married;primary;no;106;yes;no;telephone;failure;no
56;married;tertiary;no;839;no;yes;cellular;other;no
43;married;secondary;no;481;yes;no;telephone;other;no
30;married;secondary;no;-306;yes;yes;cellular;failure;no
44;married;secondary;no;1106;yes;no;telephone;failure;no
41;married;tertiary;no;171;yes;no;cellular;failure;no
58;married;tertiary;no;8014;yes;no;cellular;failure;no
55;divorced;secondary;no;4053;no;no;cellular;failure;no
32;single;tertiary;no;1583;yes;no;cellular;failure;no
42;married;tertiary;no;412;yes;no;telephone;failure;no
30;married;tertiary;no;314;no;no;cellular;success;no
37;married;secondary;no;7957;no;no;cellular;failure;no
39;single;secondary;no;4278;yes;no;cellular;other;no
32;divorced;secondary;no;1156;yes;no;cellular;failure;no
39;single;tertiary;no;1682;yes;no;cellular;failure;no
31;single;tertiary;no;3625;yes;no;cellular;failure;no
32;single;secondary;no;1721;yes;no;cellular;failure;no
45;married;secondary;no;38;yes;no;cellular;failure;no
33;single;tertiary;no;541;yes;yes;cellular;failure;no
30;single;tertiary;no;54;yes;yes;cellular;failure;no
31;married;tertiary;no;4924;yes;no;cellular;failure;no
54;married;tertiary;no;6525;yes;no;cellular;failure;no
33;married;tertiary;no;3696;no;no;cellular;failure;no
48;married;secondary;no;1811;yes;no;telephone;failure;no
33;married;tertiary;no;0;yes;no;cellular;failure;no
31;single;secondary;no;-366;yes;no;cellular;other;no
32;married;secondary;no;2089;yes;no;cellular;success;no
40;married;tertiary;no;12409;yes;no;cellular;failure;no
52;married;secondary;no;424;no;no;cellular;failure;no
31;single;secondary;no;1186;yes;no;cellular;failure;no
35;married;tertiary;no;2801;yes;no;cellular;failure;no
32;single;tertiary;no;2667;yes;no;cellular;success;no
30;single;secondary;no;382;yes;no;cellular;failure;no
31;married;primary;no;4728;yes;no;cellular;other;no
32;married;tertiary;no;964;yes;no;cellular;failure;no
36;married;secondary;no;189;yes;no;cellular;failure;no
40;married;secondary;no;961;no;yes;cellular;other;no
52;married;secondary;no;-201;no;yes;cellular;failure;no
45;divorced;secondary;no;644;yes;no;cellular;success;yes
37;single;secondary;no;50;no;no;cellular;other;no
36;single;tertiary;no;649;no;no;cellular;other;no
43;married;tertiary;no;13044;no;no;cellular;failure;no
35;divorced;tertiary;no;771;yes;yes;cellular;failure;no
30;married;tertiary;no;86;yes;yes;cellular;other;no
39;married;secondary;no;3494;yes;no;cellular;failure;no
37;married;tertiary;no;804;yes;no;cellular;other;no
49;married;tertiary;no;6613;no;no;cellular;failure;no
30;divorced;secondary;no;4591;yes;no;cellular;other;no
34;married;secondary;no;360;yes;no;telephone;failure;no
33;married;secondary;no;1234;no;no;cellular;failure;no
45;divorced;secondary;no;1309;yes;no;cellular;failure;no
30;single;tertiary;no;234;yes;no;cellular;failure;no
32;single;tertiary;no;1611;yes;no;cellular;failure;no
31;married;secondary;no;1570;yes;yes;cellular;other;no
40;married;tertiary;no;2977;yes;no;cellular;failure;no
46;married;secondary;no;15;yes;yes;cellular;failure;no
30;single;secondary;yes;447;no;no;cellular;failure;no
34;married;primary;no;2490;yes;no;cellular;failure;no
46;married;tertiary;no;2421;no;no;cellular;failure;yes
40;married;primary;no;4608;yes;no;telephone;failure;no
53;married;tertiary;no;1452;no;yes;cellular;failure;no
46;divorced;secondary;no;-26;yes;yes;cellular;other;no
38;married;secondary;no;4030;yes;no;cellular;failure;no
43;married;tertiary;no;1429;yes;no;cellular;other;yes
32;divorced;secondary;no;18;no;no;telephone;failure;no
40;married;secondary;no;260;no;no;cellular;failure;no
35;single;tertiary;no;538;yes;yes;cellular;failure;no
32;married;secondary;no;524;no;no;cellular;failure;no
33;married;tertiary;no;-103;yes;no;cellular;failure;no
33;single;tertiary;no;201;yes;no;cellular;failure;no
39;married;secondary;no;1444;no;no;cellular;success;no
46;married;secondary;no;9347;yes;no;cellular;other;no
44;married;primary;no;1161;yes;no;cellular;failure;no
59;married;primary;no;935;yes;no;cellular;failure;no
45;single;secondary;no;142;no;yes;cellular;failure;no
37;married;secondary;no;1165;yes;no;cellular;success;no
58;divorced;primary;no;8218;yes;no;cellular;failure;no
33;single;tertiary;no;149;yes;no;cellular;other;yes
42;married;secondary;no;3211;no;no;cellular;failure;no
50;married;secondary;no;3149;yes;no;cellular;other;no
41;single;secondary;no;2184;no;no;cellular;failure;no
40;married;secondary;no;0;yes;no;cellular;failure;no
43;divorced;secondary;no;6835;no;no;cellular;failure;no
44;single;secondary;no;1195;yes;no;cellular;failure;no
58;married;primary;no;630;yes;no;cellular;failure;no
43;married;tertiary;no;1993;no;no;cellular;failure;no
58;married;secondary;no;590;no;yes;cellular;failure;no
39;married;secondary;no;6012;no;no;telephone;failure;no
51;married;primary;no;863;no;no;cellular;other;no
52;married;secondary;no;7225;no;no;cellular;failure;no
54;divorced;tertiary;no;1323;no;no;cellular;failure;no
41;married;secondary;no;1011;yes;no;cellular;other;no
53;married;secondary;no;2818;yes;no;cellular;failure;no
50;divorced;secondary;no;203;yes;no;telephone;other;no
48;married;secondary;no;-202;yes;yes;cellular;failure;no
59;married;secondary;no;32948;no;no;cellular;failure;no
33;married;secondary;no;2;yes;yes;cellular;failure;no
44;divorced;tertiary;no;2279;no;yes;cellular;failure;no
52;divorced;primary;no;3990;no;no;cellular;other;no
47;divorced;secondary;no;1939;yes;no;cellular;failure;no
39;married;secondary;no;763;no;no;cellular;other;no
32;married;tertiary;no;432;yes;no;cellular;other;no
45;married;secondary;no;2926;yes;yes;cellular;failure;no
42;married;tertiary;no;783;yes;no;cellular;failure;no
30;married;primary;no;1101;yes;yes;cellular;failure;no
59;married;secondary;no;2291;no;yes;cellular;failure;no
46;married;primary;no;8873;yes;no;cellular;failure;no
40;married;secondary;no;657;yes;no;cellular;failure;no
37;married;primary;no;253;yes;no;cellular;failure;no
33;married;tertiary;no;6138;yes;no;cellular;failure;no
55;married;secondary;no;3948;no;no;cellular;failure;no
46;divorced;secondary;no;3354;yes;no;cellular;success;yes
45;married;secondary;no;830;no;no;cellular;failure;no
33;single;secondary;no;4;yes;no;cellular;failure;no
47;married;secondary;no;351;yes;yes;cellular;failure;no
35;married;secondary;no;86;no;no;cellular;failure;no
40;married;secondary;no;4853;no;no;cellular;failure;no
38;single;secondary;no;884;yes;yes;cellular;failure;no
59;married;primary;no;741;no;no;cellular;failure;no
34;married;tertiary;no;4958;yes;no;cellular;failure;no
46;single;tertiary;no;1410;yes;no;cellular;failure;no
36;married;tertiary;no;16430;yes;no;cellular;failure;no
38;married;primary;no;190;yes;no;telephone;other;yes
52;divorced;secondary;no;1291;yes;no;cellular;failure;no
30;married;secondary;no;946;yes;no;cellular;other;no
57;married;secondary;no;5935;yes;yes;cellular;failure;no
35;married;secondary;no;3187;yes;no;cellular;failure;no
59;married;primary;no;2769;yes;no;cellular;failure;no
33;married;primary;no;3512;yes;no;cellular;failure;no
56;married;primary;no;444;yes;no;cellular;failure;no
38;married;tertiary;no;5432;yes;yes;cellular;failure;no
40;married;secondary;no;67;no;yes;cellular;failure;no
37;married;primary;no;3574;yes;no;cellular;failure;no
36;single;tertiary;no;2622;no;no;cellular;failure;no
50;married;secondary;no;2910;no;no;telephone;failure;no
38;married;primary;no;2240;yes;no;cellular;failure;no
55;married;secondary;no;4733;yes;no;cellular;other;no
37;married;secondary;no;5902;yes;no;cellular;failure;no
34;married;tertiary;no;899;yes;no;telephone;success;no
50;married;secondary;no;167;no;yes;cellular;failure;no
54;divorced;tertiary;no;2272;yes;no;telephone;failure;no
56;divorced;secondary;no;-429;no;yes;cellular;failure;no
43;married;primary;no;8167;yes;no;telephone;failure;no
40;married;secondary;no;1708;yes;no;cellular;other;no
34;married;tertiary;no;1006;yes;no;cellular;other;yes
37;single;tertiary;no;5340;yes;no;cellular;failure;no
53;single;secondary;no;2430;yes;yes;cellular;failure;no
46;divorced;secondary;no;111;yes;no;cellular;other;no
40;single;secondary;no;664;no;no;cellular;success;no
50;married;tertiary;no;-470;yes;no;cellular;failure;no
30;married;tertiary;no;2451;yes;no;cellular;failure;no
58;divorced;primary;no;2538;yes;no;cellular;failure;yes
54;married;secondary;no;2626;no;no;cellular;failure;no
47;married;secondary;no;3696;yes;no;cellular;failure;no
39;married;tertiary;no;12855;yes;no;cellular;failure;no
39;married;secondary;no;-982;yes;yes;cellular;other;no
39;single;tertiary;no;633;no;no;cellular;failure;no
39;married;secondary;no;747;yes;yes;cellular;other;no
50;married;tertiary;no;1784;no;no;cellular;failure;no
39;divorced;tertiary;no;1315;yes;no;cellular;failure;no
33;single;tertiary;no;923;yes;no;cellular;failure;no
45;married;tertiary;no;7154;yes;no;cellular;failure;no
59;married;primary;no;0;no;no;telephone;failure;no
53;married;tertiary;no;2578;no;no;cellular;failure;no
37;married;secondary;no;510;yes;no;cellular;failure;no
54;married;primary;no;277;yes;no;cellular;failure;no
42;married;primary;no;792;yes;yes;cellular;other;no
39;divorced;tertiary;no;4692;yes;no;telephone;success;no
39;married;secondary;no;4136;yes;no;cellular;failure;no
31;married;secondary;no;395;no;no;telephone;failure;no
33;married;tertiary;no;621;no;no;cellular;failure;no
49;married;secondary;no;4259;no;no;cellular;failure;no
40;married;tertiary;no;3352;yes;no;cellular;success;yes
37;divorced;secondary;no;226;no;yes;cellular;other;no
35;married;tertiary;no;552;yes;yes;cellular;failure;no
35;married;primary;no;31;no;yes;cellular;failure;no
44;married;secondary;no;6491;yes;no;cellular;failure;no
46;divorced;tertiary;no;926;yes;no;cellular;other;no
45;married;tertiary;no;3689;yes;no;cellular;failure;no
44;single;primary;no;1593;yes;no;cellular;success;no
58;married;secondary;no;1507;yes;yes;cellular;other;no
37;married;secondary;no;5287;yes;yes;cellular;failure;no
53;married;primary;no;1034;yes;no;cellular;other;no
55;married;tertiary;no;625;no;no;telephone;failure;no
38;married;tertiary;no;898;yes;no;cellular;failure;no
35;married;tertiary;no;867;yes;no;cellular;success;no
31;married;tertiary;no;1224;yes;yes;cellular;success;no
36;single;secondary;no;10041;yes;no;cellular;other;no
